,coin,duration,favorite,like,sectid,sectname,time,view
0,556,293,5174,304,17,单机联机,2009-06-26 07:11:36,555955
1,1598,44,14606,858,74,日常,2009-06-26 07:11:36,1402988
2,3524,171,14885,1809,184,预告 资讯,2009-06-26 07:11:36,1415098
0,62.0,320.0,273.0,16.0,24.0,MAD-AMV,2009-07-06 07:11:36,11790.0
1,5.0,1194.5,68.5,6.0,19.0,Mugen,2009-07-06 07:11:36,4476.5
2,61.0,241.25,557.5,32.0,30.0,VOCALOID-UTAU,2009-07-06 07:11:36,18658.25
3,18.0,844.0,336.0,18.0,29.0,三次元音乐,2009-07-06 07:11:36,34908.0
4,33.73,487.91,342.45,34.36,17.0,单机联机,2009-07-06 07:11:36,29626.09
5,8.0,265.0,95.0,9.0,20.0,宅舞,2009-07-06 07:11:36,10203.0
6,21.0,122.0,326.0,20.0,166.0,广告,2009-07-06 07:11:36,14665.0
7,136.93,283.14,754.71,53.29,21.0,日常,2009-07-06 07:11:36,60395.14
8,23.0,984.0,499.0,40.0,171.0,电子竞技,2009-07-06 07:11:36,45693.0
9,12.5,150.5,223.0,6.5,47.0,短片-手书-配音,2009-07-06 07:11:36,9345.5
10,63.9,548.1,387.1,24.4,27.0,综合,2009-07-06 07:11:36,25709.1
11,46.8,264.5,305.8,45.4,31.0,翻唱,2009-07-06 07:11:36,26047.2
12,1875.71,323.29,15219.0,835.86,26.0,音MAD,2009-07-06 07:11:36,329886.86
13,113.15,468.77,1147.46,56.08,130.0,音乐选集,2009-07-06 07:11:36,46072.77
14,45.44,175.0,272.0,22.44,22.0,鬼畜调教,2009-07-06 07:11:36,23211.56
0,58.0,97.0,53.0,2.0,24.0,MAD-AMV,2009-07-16 07:11:36,7044.0
1,33.0,112.0,497.0,34.0,30.0,VOCALOID-UTAU,2009-07-16 07:11:36,16264.0
2,3.0,345.0,55.0,2.0,29.0,三次元音乐,2009-07-16 07:11:36,7259.0
3,46.0,715.5,314.0,15.5,17.0,单机联机,2009-07-16 07:11:36,22273.0
4,23.0,352.0,415.0,6.0,59.0,演奏,2009-07-16 07:11:36,114538.0
5,6.56,421.56,82.11,4.22,27.0,综合,2009-07-16 07:11:36,5348.11
6,57.0,313.0,271.0,15.0,31.0,翻唱,2009-07-16 07:11:36,4302.0
7,13.0,160.0,90.0,10.0,26.0,音MAD,2009-07-16 07:11:36,7547.0
8,9.5,353.0,86.0,6.0,130.0,音乐选集,2009-07-16 07:11:36,9668.0
9,8.0,104.0,76.0,7.0,136.0,音游,2009-07-16 07:11:36,5017.0
10,7.0,125.0,119.0,7.0,22.0,鬼畜调教,2009-07-16 07:11:36,6012.0
0,3.0,95.0,59.0,2.0,24.0,MAD-AMV,2009-07-26 07:11:36,4445.0
1,6.0,343.0,62.0,2.0,17.0,单机联机,2009-07-26 07:11:36,1375.0
